Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF21abmwzxt,VLASS3.1,0.404,0.15,537.54
ZTF21abmxiuf,VLASS1.2v2,0.192,0.099,-862.37
ZTF21abmxiuf,VLASS2.2,0.251,0.129,63.63
ZTF21abmxkcq,VLASS1.1v2,0.404,0.128,-1375.42
ZTF21abmxkcq,VLASS2.1,0.514,0.13,-325.42
ZTF21abmxkcq,VLASS3.1,0.42,0.166,604.58
ZTF21abmzpmc,VLASS1.1v2,0.239,0.122,-1351.22
ZTF21abmzpmc,VLASS2.1,0.428,0.152,-380.22
ZTF21abmzpmc,VLASS3.1,0.286,0.107,541.78
ZTF21abmzrdz,VLASS1.1v2,0.356,0.123,-1396.2
ZTF21abmzrdz,VLASS2.1,0.393,0.11,-314.2
ZTF21abmzrdz,VLASS3.1,0.309,0.107,542.8
ZTF21abnabtv,VLASS1.1v2,0.322,0.113,-1384.19
ZTF21abnabtv,VLASS2.1,0.436,0.142,-305.19
ZTF21abnabtv,VLASS3.1,0.295,0.115,564.81
ZTF21abnfdqg,VLASS1.2v2,0.347,0.121,-831.41
ZTF21abnfdqg,VLASS2.2,0.23,0.09,101.59
ZTF21abnfgff,VLASS1.1v2,0.38,0.134,-1378.38
ZTF21abnfgff,VLASS2.1,0.561,0.161,-353.38
ZTF21abnfgff,VLASS3.1,0.495,0.191,583.62
ZTF21abngbrl,VLASS1.1v2,0.529,0.201,-1257.41
ZTF21abngbrl,VLASS2.1,0.435,0.206,-272.41
ZTF21abngbrl,VLASS3.1,0.324,0.14,681.59
ZTF21abnlhxs,VLASS1.1v2,0.249,0.1,-1415.35
ZTF21abnlhxs,VLASS2.1,0.499,0.17,-379.35
ZTF21abnlhxs,VLASS3.1,0.271,0.104,525.65
ZTF21abnspht,VLASS1.2v2,0.406,0.121,-836.26
ZTF21abnspht,VLASS2.2,0.429,0.121,148.74
ZTF21abnudtb,VLASS1.2v2,0.402,0.147,-842.37
ZTF21abnudtb,VLASS2.2,0.404,0.148,97.63
ZTF21abnuldi,VLASS1.2v2,0.333,0.124,-784.45
ZTF21abnuldi,VLASS2.2,0.262,0.099,94.55
ZTF21abnvlnj,VLASS1.2v2,0.377,0.194,-885.2
ZTF21abnvlnj,VLASS2.2,0.296,0.133,122.8
ZTF21abnvsic,VLASS1.1v2,0.356,0.121,-1362.28
ZTF21abnvsic,VLASS2.1,0.269,0.119,-325.28
ZTF21abnvsic,VLASS3.1,0.203,0.103,582.72
ZTF21abothvq,VLASS1.2v2,0.295,0.133,-857.38
ZTF21abothvq,VLASS2.2,0.315,0.148,46.62
ZTF21abotose,VLASS1.1v2,0.224,0.106,-1420.17
ZTF21abotose,VLASS2.1,0.313,0.156,-396.17
ZTF21abotose,VLASS3.1,0.413,0.153,518.83
ZTF21abotuqo,VLASS1.1v2,0.235,0.109,-1424.31
ZTF21abotuqo,VLASS2.1,0.292,0.162,-357.31
ZTF21abotuqo,VLASS3.1,0.344,0.12,569.69
ZTF21abouexm,VLASS1.1v2,0.289,0.117,-1429.22
ZTF21abouexm,VLASS2.1,0.468,0.133,-361.22
ZTF21abouexm,VLASS3.1,0.302,0.102,571.78
ZTF21abourqt,VLASS1.1v2,0.339,0.124,-1421.36
ZTF21abourqt,VLASS2.1,0.222,0.155,-342.36
ZTF21abourqt,VLASS3.1,0.506,0.141,548.64
ZTF21abousyu,VLASS1.2v2,0.294,0.114,-869.37
ZTF21abousyu,VLASS2.2,0.277,0.119,48.63
ZTF21abouuat,VLASS1.2v2,0.386,0.123,-852.35
ZTF21abouuat,VLASS2.2,0.38,0.124,87.65
ZTF21abouuow,VLASS1.1v2,0.255,0.102,-1367.36
ZTF21abouuow,VLASS2.1,0.298,0.115,-339.36
ZTF21abouuow,VLASS3.1,0.301,0.129,551.64
ZTF21abouznj,VLASS1.1v2,0.355,0.133,-1351.46
ZTF21abouznj,VLASS2.1,0.404,0.14,-298.46
ZTF21abouznj,VLASS3.1,0.384,0.146,585.54
ZTF21abovblm,VLASS1.1v2,0.267,0.125,-1343.47
ZTF21abovblm,VLASS2.1,0.342,0.122,-383.47
ZTF21abovblm,VLASS3.1,0.285,0.125,577.53
ZTF21abowpnd,VLASS1.1v2,0.382,0.108,-1406.23
ZTF21abowpnd,VLASS2.1,0.297,0.122,-303.23
ZTF21abowpnd,VLASS3.1,0.24,0.112,531.77
ZTF21abowqqa,VLASS1.2v2,0.345,0.151,-848.23
ZTF21abowqqa,VLASS2.2,0.309,0.112,53.77
ZTF21abowrey,VLASS1.1v2,0.433,0.193,-1281.19
ZTF21abowrey,VLASS2.1,0.553,0.203,NA
ZTF21abowrey,VLASS3.1,0.398,0.154,667.81
ZTF21abowsub,VLASS1.1v2,0.277,0.098,-1396.2
ZTF21abowsub,VLASS2.1,0.28,0.112,-328.2
ZTF21abowsub,VLASS3.1,0.263,0.127,564.8
ZTF21abowyfn,VLASS1.1v2,0.453,0.157,-1262.19
ZTF21abowyfn,VLASS2.1,0.353,0.171,-281.19
ZTF21abowyfn,VLASS3.1,0.35,0.139,679.81
ZTF21abpamxn,VLASS1.2v2,0.304,0.121,-842.33
ZTF21abpamxn,VLASS2.2,0.206,0.104,97.67
ZTF21abpaodi,VLASS1.1v2,0.344,0.104,-1382.4
ZTF21abpaodi,VLASS2.1,0.46,0.154,-344.4
ZTF21abpaodi,VLASS3.1,0.375,0.146,550.6
ZTF21abpapvy,VLASS1.1v2,0.341,0.128,-1401.37
ZTF21abpapvy,VLASS2.1,0.294,0.124,-365.37
ZTF21abpapvy,VLASS3.1,0.297,0.107,539.63
ZTF21abpivbd,VLASS1.1v2,0.293,0.111,-1359.18
ZTF21abpivbd,VLASS2.1,0.403,0.141,-378.18
ZTF21abpivbd,VLASS3.1,0.335,0.124,542.82
ZTF21abpjpxr,VLASS1.2v2,0.411,0.145,-832.4
ZTF21abpjpxr,VLASS2.2,0.253,0.138,84.6
ZTF21abplgag,VLASS1.1v2,0.312,0.149,-1408.36
ZTF21abplgag,VLASS2.1,0.386,0.174,-355.36
ZTF21abplgag,VLASS3.1,0.334,0.143,545.64
ZTF21abplhpw,VLASS1.1v2,0.331,0.118,-1422.34
ZTF21abplhpw,VLASS2.1,0.478,0.173,-346.34
ZTF21abplhpw,VLASS3.1,0.213,0.143,588.66
ZTF21abplsmq,VLASS1.1v2,0.489,0.138,-1418.47
ZTF21abplsmq,VLASS2.1,0.437,0.164,-350.47
ZTF21abplsmq,VLASS3.1,0.348,0.119,562.53
ZTF21abplypq,VLASS1.2v2,0.376,0.144,-770.29
ZTF21abplypq,VLASS2.2,0.564,0.126,173.71
ZTF21abpmlxu,VLASS1.2v2,0.375,0.161,-807.4
ZTF21abpmlxu,VLASS2.2,0.348,0.136,137.6
ZTF21abpryuv,VLASS1.1v2,0.261,0.128,-1259.42
ZTF21abpryuv,VLASS2.1,0.37,0.151,-277.42
ZTF21abpryuv,VLASS3.1,0.324,0.125,677.58
ZTF21abprzfg,VLASS1.1v2,0.325,0.136,-1336.42
ZTF21abprzfg,VLASS2.1,0.259,0.133,-298.42
ZTF21abprzfg,VLASS3.1,0.399,0.134,591.58
ZTF21abptxfk,VLASS1.1v2,0.422,0.152,-1392.24
ZTF21abptxfk,VLASS2.1,0.501,0.214,-362.24
ZTF21abptxfk,VLASS3.1,0.386,0.151,564.76
ZTF21abpuent,VLASS1.1v2,0.304,0.123,-1380.18
ZTF21abpuent,VLASS2.1,0.239,0.113,-350.18
ZTF21abpuent,VLASS3.1,0.343,0.129,537.82
ZTF21abpvrhn,VLASS1.2v2,0.395,0.178,-833.35
ZTF21abpvrhn,VLASS2.2,0.367,0.145,46.65
ZTF21abpvssa,VLASS1.2v2,0.349,0.116,-818.31
ZTF21abpvssa,VLASS2.2,0.313,0.107,70.69
ZTF21abpwtde,VLASS1.2v2,0.233,0.118,-854.3
ZTF21abpwtde,VLASS2.2,0.191,0.093,76.7
ZTF21abpxquj,VLASS1.1v2,0.347,0.151,-1340.44
ZTF21abpxquj,VLASS2.1,0.462,0.168,-376.44
ZTF21abpxquj,VLASS3.1,0.409,0.163,522.56
ZTF21abpxsck,VLASS1.1v2,0.531,0.159,-1343.47
ZTF21abpxsck,VLASS2.1,0.488,0.132,-290.47
ZTF21abpxsck,VLASS3.1,0.381,0.157,593.53
ZTF21abpxuss,VLASS1.2v2,0.162,0.116,-774.45
ZTF21abpxuss,VLASS2.2,0.397,0.143,72.55
ZTF21abpyauz,VLASS1.2v2,0.314,0.149,-826.42
ZTF21abpyauz,VLASS2.2,0.323,0.144,152.58
ZTF21abqfpsc,VLASS1.1v2,0.268,0.112,-1284.23
ZTF21abqfpsc,VLASS2.1,0.338,0.13,-290.23
ZTF21abqfpsc,VLASS3.1,0.434,0.152,655.77
ZTF21abqftqr,VLASS1.1v2,0.255,0.112,-1389.26
ZTF21abqftqr,VLASS2.1,0.405,0.114,-332.26
ZTF21abqftqr,VLASS3.1,0.372,0.163,520.74
ZTF21abqfttg,VLASS1.2v2,4.438,0.399,-829.21
ZTF21abqfttg,VLASS2.2,4.471,0.417,46.79
ZTF21abqgbau,VLASS1.2v2,5.417,0.886,-773.21
ZTF21abqgbau,VLASS2.2,6.144,0.877,175.79
ZTF21abqgrqd,VLASS1.1v2,0.823,0.195,-1384.32
ZTF21abqgrqd,VLASS2.1,0.6,0.207,-357.32
ZTF21abqgrqd,VLASS3.1,0.383,0.164,577.68
ZTF21abqikvn,VLASS1.2v2,0.302,0.133,-853.45
ZTF21abqikvn,VLASS2.2,0.611,0.179,70.55
ZTF21abqixak,VLASS1.2v2,0.359,0.131,-846.42
ZTF21abqixak,VLASS2.2,0.289,0.122,84.58
ZTF21abqmrtm,VLASS1.2v2,0.391,0.139,-812.37
ZTF21abqmrtm,VLASS2.2,0.356,0.129,88.63
ZTF21abqmrun,VLASS1.1v2,0.298,0.111,-1415.25
ZTF21abqmrun,VLASS2.1,0.482,0.162,-379.25
ZTF21abqmrun,VLASS3.1,0.259,0.106,525.75
ZTF21abqpwpu,VLASS1.1v2,0.392,0.131,-1415.42
ZTF21abqpwpu,VLASS2.1,0.453,0.2,-372.42
ZTF21abqpwpu,VLASS3.1,0.519,0.174,567.58
ZTF21abqqbfz,VLASS1.2v2,0.444,0.135,-758.44
ZTF21abqqbfz,VLASS2.2,0.307,0.145,185.56
ZTF21abqqcxf,VLASS1.1v2,0.287,0.127,-1377.44
ZTF21abqqcxf,VLASS2.1,0.294,0.142,-349.44
ZTF21abqqcxf,VLASS3.1,0.462,0.18,563.56
ZTF21abqsysj,VLASS1.2v2,0.302,0.137,-843.42
ZTF21abqsysj,VLASS2.2,0.205,0.101,73.58
ZTF21abqueax,VLASS1.2v2,0.556,0.175,-826.42
ZTF21abqueax,VLASS2.2,0.368,0.136,84.58
ZTF21abqvykn,VLASS1.1v2,0.393,0.157,-1419.43
ZTF21abqvykn,VLASS2.1,0.458,0.162,-346.43
ZTF21abqvykn,VLASS3.1,0.463,0.138,527.57
ZTF21abqvyyz,VLASS1.1v2,0.441,0.127,-1355.48
ZTF21abqvyyz,VLASS2.1,0.257,0.165,-324.48
ZTF21abqvyyz,VLASS3.1,0.385,0.129,567.52
ZTF21abqvzjy,VLASS1.1v2,0.352,0.098,-1347.48
ZTF21abqvzjy,VLASS2.1,0.287,0.134,-327.48
ZTF21abqvzjy,VLASS3.1,0.219,0.107,567.52
ZTF21abqxmpa,VLASS1.1v2,0.203,0.101,-1423.52
ZTF21abqxmpa,VLASS2.1,0.462,0.155,-408.52
ZTF21abqxmpa,VLASS3.1,0.25,0.093,513.48
ZTF21abqymzg,VLASS1.2v2,0.43,0.124,-884.28
ZTF21abqymzg,VLASS2.2,0.424,0.123,41.72
ZTF21abqzays,VLASS1.1v2,0.264,0.104,-1420.23
ZTF21abqzays,VLASS2.1,0.236,0.138,-391.23
ZTF21abqzays,VLASS3.1,0.499,0.158,590.77
ZTF21abraccv,VLASS1.2v2,0.316,0.122,-826.35
ZTF21abraccv,VLASS2.2,0.406,0.115,101.65
ZTF21abrapmf,VLASS1.2v2,0.391,0.171,101.65
ZTF21abrapmf,VLASS2.2,0.2,0.125,101.65
ZTF21abrfvax,VLASS1.1v2,0.25,0.107,-1412.2
ZTF21abrfvax,VLASS2.1,0.303,0.144,-390.2
ZTF21abrfvax,VLASS3.1,0.248,0.131,506.8
ZTF21abrgbex,VLASS1.1v2,0.223,0.098,-1396.25
ZTF21abrgbex,VLASS2.1,0.315,0.131,-328.25
ZTF21abrgbex,VLASS3.1,0.277,0.112,564.75
ZTF21abrghol,VLASS1.1v2,0.413,0.126,-1408.18
ZTF21abrghol,VLASS2.1,0.395,0.138,-340.18
ZTF21abrghol,VLASS3.1,0.43,0.119,552.82
ZTF21abrhggj,VLASS1.2v2,0.441,0.133,-861.43
ZTF21abrhggj,VLASS2.2,0.217,0.113,45.57
ZTF21abrlslx,VLASS1.1v2,0.272,0.121,-1397.32
ZTF21abrlslx,VLASS2.1,0.324,0.155,-357.32
ZTF21abrlslx,VLASS3.1,0.306,0.14,543.68
ZTF21abrluay,VLASS2.2,0.545,0.133,28.72
ZTF21abrmefg,VLASS1.2v2,0.365,0.128,-854.39
ZTF21abrmefg,VLASS2.2,0.332,0.141,79.61
ZTF21abrofrx,VLASS1.2v2,0.362,0.157,-844.35
ZTF21abrofrx,VLASS2.2,0.303,0.13,55.65
ZTF21abrotmc,VLASS1.1v2,0.291,0.124,-1393.26
ZTF21abrotmc,VLASS2.1,0.444,0.17,-353.26
ZTF21abrotmc,VLASS3.1,0.317,0.139,547.74
ZTF21abrpdjh,VLASS1.1v2,0.278,0.125,-1343.46
ZTF21abrpdjh,VLASS2.1,0.403,0.17,-367.46
ZTF21abrpdjh,VLASS3.1,0.364,0.131,580.54
ZTF21abrpdsp,VLASS1.1v2,0.247,0.113,-1409.4
ZTF21abrpdsp,VLASS2.1,0.58,0.153,-386.4
ZTF21abrpdsp,VLASS3.1,0.357,0.14,523.6
ZTF21abrpdwb,VLASS1.1v2,0.334,0.127,-1360.48
ZTF21abrpdwb,VLASS2.1,0.314,0.116,-339.48
ZTF21abrpdwb,VLASS3.1,0.267,0.128,533.52
ZTF21abrpeix,VLASS1.1v2,0.277,0.132,-1394.47
ZTF21abrpeix,VLASS2.1,0.413,0.185,-371.47
ZTF21abrpeix,VLASS3.1,0.294,0.132,538.53
ZTF21abrpkzp,VLASS1.1v2,0.256,0.142,-1365.36
ZTF21abrpkzp,VLASS2.1,0.412,0.163,-338.36
ZTF21abrpkzp,VLASS3.1,0.294,0.132,536.64
ZTF21abrpoaq,VLASS1.1v2,0.302,0.11,-1353.42
ZTF21abrpoaq,VLASS2.1,0.464,0.185,-308.42
ZTF21abrpoaq,VLASS3.1,0.489,0.176,574.58
ZTF21abrqria,VLASS1.2v2,0.261,0.125,-879.47
ZTF21abrqria,VLASS2.2,0.341,0.105,28.53
ZTF21abrqrsz,VLASS1.2v2,0.413,0.158,-836.5
ZTF21abrqrsz,VLASS2.2,0.304,0.106,102.5
ZTF21abrskvb,VLASS1.1v2,0.37,0.163,-1417.25
ZTF21abrskvb,VLASS2.1,0.502,0.2,-371.25
ZTF21abrskvb,VLASS3.1,0.407,0.153,527.75
ZTF21abrssvd,VLASS1.1v2,0.438,0.131,-1420.23
ZTF21abrssvd,VLASS2.1,0.441,0.141,-351.23
ZTF21abrssvd,VLASS3.1,0.374,0.141,526.77
ZTF21abrxgiv,VLASS1.2v2,0.279,0.11,-857.36
ZTF21abrxgiv,VLASS2.2,0.339,0.117,59.64
ZTF21abrxoir,VLASS1.1v2,0.383,0.148,-1406.32
ZTF21abrxoir,VLASS2.1,0.503,0.155,-382.32
ZTF21abrxoir,VLASS3.1,0.331,0.141,554.68
ZTF21abrxwvv,VLASS1.2v2,0.445,0.163,-866.32
ZTF21abrxwvv,VLASS2.2,0.283,0.139,37.68
ZTF21abrylwg,VLASS1.2v2,0.57,0.134,-841.28
ZTF21abrylwg,VLASS2.2,0.27,0.143,75.72
ZTF21abrzdqx,VLASS1.1v2,0.483,0.132,-1426.37
ZTF21abrzdqx,VLASS2.1,0.376,0.146,-353.37
ZTF21abrzdqx,VLASS3.1,0.32,0.135,520.63
ZTF21abrzsak,VLASS1.2v2,0.361,0.142,-765.46
ZTF21abrzsak,VLASS2.2,0.247,0.14,178.54
ZTF21abrzsol,VLASS1.1v2,0.559,0.204,-1352.47
ZTF21abrzsol,VLASS2.1,0.665,0.293,-374.47
ZTF21abrzsol,VLASS3.1,0.504,0.232,630.53
ZTF21absbrag,VLASS1.1v2,0.409,0.115,-1378.19
ZTF21absbrag,VLASS2.1,0.316,0.138,-333.19
ZTF21absbrag,VLASS3.1,0.354,0.141,514.81
ZTF21absbrbd,VLASS1.1v2,0.281,0.103,-1376.18
ZTF21absbrbd,VLASS2.1,0.371,0.145,-405.18
ZTF21absbrbd,VLASS3.1,0.273,0.124,516.82
ZTF21absbujl,VLASS1.1v2,0.271,0.121,-1408.18
ZTF21absbujl,VLASS2.1,0.283,0.122,-340.18
ZTF21absbujl,VLASS3.1,0.242,0.108,552.82
ZTF21absbwyz,VLASS1.2v2,0.574,0.141,-890.19
ZTF21absbwyz,VLASS2.2,0.392,0.154,68.81
ZTF21abscohx,VLASS1.1v2,0.345,0.14,-1274.21
ZTF21abscohx,VLASS2.1,0.535,0.14,NA
ZTF21abscohx,VLASS3.1,0.336,0.122,664.79
ZTF21abshszs,VLASS1.2v2,0.525,0.136,-843.37
ZTF21abshszs,VLASS2.2,0.466,0.139,61.63
ZTF21absjlur,VLASS1.2v2,0.259,0.104,-865.48
ZTF21absjlur,VLASS2.2,0.227,0.106,76.52
ZTF21abskgap,VLASS1.2v2,0.368,0.125,-797.39
ZTF21abskgap,VLASS2.2,0.283,0.109,92.61
ZTF21absvlrr,VLASS1.1v2,0.275,0.11,-1294.48
ZTF21absvlrr,VLASS2.1,0.339,0.137,-302.48
ZTF21absvlrr,VLASS3.1,0.286,0.132,650.52
ZTF21absxxew,VLASS1.2v2,0.375,0.127,-827.5
ZTF21absxxew,VLASS2.2,0.329,0.123,100.5
ZTF21absyjff,VLASS1.1v2,0.28,0.129,-1471.31
ZTF21absyjff,VLASS2.1,0.579,0.208,-417.31
ZTF21absyjff,VLASS3.1,0.298,0.125,503.69
ZTF21abtaxou,VLASS1.1v2,0.247,0.106,-1382.38
ZTF21abtaxou,VLASS2.1,0.33,0.134,-354.38
ZTF21abtaxou,VLASS3.1,0.361,0.137,536.62
ZTF21abtbygc,VLASS1.1v2,0.282,0.104,-1351.4
ZTF21abtbygc,VLASS2.1,0.36,0.158,-377.4
ZTF21abtbygc,VLASS3.1,0.395,0.12,512.6
ZTF21abtcftb,VLASS1.2v2,0.398,0.16,-762.44
ZTF21abtcftb,VLASS2.2,0.428,0.138,188.56
ZTF21abtcgdo,VLASS1.2v2,0.39,0.137,-841.46
ZTF21abtcgdo,VLASS2.2,0.337,0.139,180.54
ZTF21abtcgoh,VLASS1.2v2,0.258,0.146,-842.41
ZTF21abtcgoh,VLASS2.2,0.351,0.173,145.59
ZTF21abtdlno,VLASS1.2v2,0.311,0.124,-801.5
ZTF21abtdlno,VLASS2.2,0.291,0.126,123.5
ZTF21abtdvpg,VLASS1.1v2,0.295,0.122,-1452.53
ZTF21abtdvpg,VLASS2.1,0.334,0.149,-478.53
ZTF21abtdvpg,VLASS3.1,0.254,0.104,438.47
ZTF21abtephz,VLASS1.1v2,0.419,0.144,-1407.16
ZTF21abtephz,VLASS2.1,0.22,0.105,-392.16
ZTF21abtephz,VLASS3.1,0.23,0.127,515.84
ZTF21abtfogg,VLASS1.1v2,0.359,0.156,-1432.28
ZTF21abtfogg,VLASS2.1,0.387,0.162,-387.28
ZTF21abtfogg,VLASS3.1,0.368,0.169,557.72
ZTF21abtgbwr,VLASS1.1v2,0.264,0.121,-1407.28
ZTF21abtgbwr,VLASS2.1,0.43,0.158,-380.28
ZTF21abtgbwr,VLASS3.1,0.415,0.126,554.72
ZTF21abtorlk,VLASS1.1v2,0.303,0.127,-1398.47
ZTF21abtorlk,VLASS2.1,0.299,0.133,-377.47
ZTF21abtorlk,VLASS3.1,0.345,0.131,495.53
ZTF21abtsoky,VLASS1.1v2,0.251,0.128,-1455.27
ZTF21abtsoky,VLASS2.1,0.384,0.216,-387.27
ZTF21abtsoky,VLASS3.1,0.278,0.129,519.73
ZTF21abtucck,VLASS1.2v2,0.427,0.146,-808.26
ZTF21abtucck,VLASS2.2,0.377,0.126,47.74
ZTF21abtuutw,VLASS1.1v2,0.492,0.148,-1368.34
ZTF21abtuutw,VLASS2.1,0.462,0.198,-413.34
ZTF21abtuutw,VLASS3.1,0.465,0.184,568.66
ZTF21abtwvyl,VLASS1.1v2,0.434,0.137,-1431.36
ZTF21abtwvyl,VLASS2.1,0.365,0.142,-379.36
ZTF21abtwvyl,VLASS3.1,0.373,0.138,528.64
ZTF21abtxglm,VLASS1.1v2,0.238,0.108,-1291.42
ZTF21abtxglm,VLASS2.1,0.326,0.134,-299.42
ZTF21abtxglm,VLASS3.1,0.371,0.149,653.58
ZTF21abtxnir,VLASS1.2v2,0.383,0.141,-908.39
ZTF21abtxnir,VLASS2.2,0.244,0.114,70.61
ZTF21abtxqza,VLASS1.1v2,0.354,0.125,-1428.48
ZTF21abtxqza,VLASS2.1,0.361,0.167,-397.48
ZTF21abtxqza,VLASS3.1,0.316,0.098,518.52
ZTF21abtxxdq,VLASS1.1v2,0.547,0.11,-1410.49
ZTF21abtxxdq,VLASS2.1,0.902,0.117,-368.49
ZTF21abtxxdq,VLASS3.1,0.784,0.177,562.51
ZTF21abtxxjk,VLASS1.1v2,0.275,0.103,-1382.39
ZTF21abtxxjk,VLASS2.1,0.363,0.142,-360.39
ZTF21abtxxjk,VLASS3.1,0.334,0.101,537.61
ZTF21abtzlnh,VLASS1.2v2,0.253,0.107,-836.18
ZTF21abtzlnh,VLASS2.2,0.397,0.122,88.82
ZTF21abtzmlz,VLASS1.1v2,0.308,0.117,-1378.28
ZTF21abtzmlz,VLASS2.1,0.314,0.124,-362.28
ZTF21abtzmlz,VLASS3.1,0.256,0.107,526.72
ZTF21abubpng,VLASS1.1v2,0.332,0.104,-1421.29
ZTF21abubpng,VLASS2.1,0.571,0.183,-385.29
ZTF21abubpng,VLASS3.1,0.36,0.137,519.71
ZTF21abubxmc,VLASS1.2v2,0.737,0.174,-868.39
ZTF21abubxmc,VLASS2.2,0.303,0.127,57.61
ZTF21abuetqc,VLASS1.2v2,0.254,0.133,-865.44
ZTF21abuetqc,VLASS2.2,0.275,0.1,58.56
ZTF21abuetwv,VLASS1.2v2,0.464,0.161,-853.44
ZTF21abuetwv,VLASS2.2,0.328,0.11,46.56
ZTF21abufayv,VLASS1.2v2,0.264,0.105,-891.33
ZTF21abufayv,VLASS2.2,0.272,0.101,99.67
ZTF21abuffew,VLASS1.1v2,0.349,0.155,-1441.48
ZTF21abuffew,VLASS2.1,0.412,0.152,-374.48
ZTF21abuffew,VLASS3.1,0.436,0.18,630.52
ZTF21abuibjs,VLASS1.2v2,0.302,0.122,-897.49
ZTF21abuibjs,VLASS2.2,0.3,0.106,81.51
ZTF21abujefa,VLASS1.2v2,0.257,0.135,-851.28
ZTF21abujefa,VLASS2.2,0.218,0.116,34.72
ZTF21abujejr,VLASS1.1v2,0.221,0.1,-1424.21
ZTF21abujejr,VLASS2.1,0.374,0.15,-380.21
ZTF21abujejr,VLASS3.1,0.245,0.096,552.79
ZTF21abujgmr,VLASS1.1v2,0.607,0.125,-1430.3
ZTF21abujgmr,VLASS2.1,0.618,0.142,-360.3
ZTF21abujgmr,VLASS3.1,0.986,0.174,533.7
ZTF21abukrln,VLASS1.1v2,0.336,0.116,-1418.41
ZTF21abukrln,VLASS2.1,0.322,0.155,-368.41
ZTF21abukrln,VLASS3.1,0.347,0.137,561.59
ZTF21abukwfl,VLASS1.2v2,0.392,0.133,-824.3
ZTF21abukwfl,VLASS2.2,0.306,0.111,75.7
ZTF21abulpnc,VLASS1.1v2,0.434,0.14,-1409.32
ZTF21abulpnc,VLASS2.1,0.336,0.124,-383.32
ZTF21abulpnc,VLASS3.1,0.328,0.107,587.68
ZTF21abulrsl,VLASS1.1v2,0.243,0.097,-1375.46
ZTF21abulrsl,VLASS2.1,0.337,0.117,-355.46
ZTF21abulrsl,VLASS3.1,0.357,0.136,513.54
ZTF21abulsgn,VLASS1.2v2,0.313,0.15,-841.49
ZTF21abulsgn,VLASS2.2,0.357,0.122,86.51
ZTF21abultbr,VLASS1.1v2,0.246,0.125,-1431.49
ZTF21abultbr,VLASS2.1,0.308,0.128,NA
ZTF21abultbr,VLASS3.1,0.19,0.114,535.51
ZTF21abutpwh,VLASS1.1v2,0.408,0.1,-1439.19
ZTF21abutpwh,VLASS2.1,0.389,0.154,-415.19
ZTF21abutpwh,VLASS3.1,0.365,0.158,499.81
ZTF21abuuzrk,VLASS1.2v2,0.592,0.221,-883.19
ZTF21abuuzrk,VLASS2.2,0.816,0.18,30.81
ZTF21abuvury,VLASS1.1v2,0.296,0.136,-1413.3
ZTF21abuvury,VLASS2.1,0.51,0.176,-385.3
ZTF21abuvury,VLASS3.1,0.502,0.144,549.7
ZTF21abuxitb,VLASS1.1v2,0.428,0.159,-1360.47
ZTF21abuxitb,VLASS2.1,0.525,0.225,-386.47
ZTF21abuxitb,VLASS3.1,0.356,0.139,503.53
ZTF21abuxuxj,VLASS1.2v2,0.352,0.12,-848.44
ZTF21abuxuxj,VLASS2.2,0.303,0.156,150.56
ZTF21abuyhau,VLASS1.1v2,0.146,0.083,-1420.26
ZTF21abuyhau,VLASS2.1,0.285,0.141,-352.26
ZTF21abuyhau,VLASS3.1,0.252,0.115,540.74
ZTF21abuykoj,VLASS1.2v2,0.429,0.118,-896.18
ZTF21abuykoj,VLASS2.2,0.348,0.148,96.82
ZTF21abuykso,VLASS1.2v2,0.305,0.124,-856.17
ZTF21abuykso,VLASS2.2,0.395,0.123,93.83
ZTF21abuyyxi,VLASS1.2v2,0.463,0.162,-792.23
ZTF21abuyyxi,VLASS2.2,0.297,0.13,155.77
ZTF21abvajfq,VLASS1.1v2,0.275,0.126,-1432.18
ZTF21abvajfq,VLASS2.1,0.456,0.152,-362.18
ZTF21abvajfq,VLASS3.1,0.263,0.1,513.82
ZTF21abvajfr,VLASS1.1v2,0.414,0.119,-1434.18
ZTF21abvajfr,VLASS2.1,0.417,0.135,-364.18
ZTF21abvajfr,VLASS3.1,0.245,0.1,511.82
ZTF21abvarfi,VLASS1.1v2,0.264,0.131,-1432.18
ZTF21abvarfi,VLASS2.1,0.263,0.132,-329.18
ZTF21abvarfi,VLASS3.1,0.309,0.118,505.82
ZTF21abvbdyr,VLASS1.1v2,0.658,0.204,-1298.25
ZTF21abvbdyr,VLASS2.1,0.701,0.257,NA
ZTF21abvbdyr,VLASS3.1,0.542,0.173,640.75
ZTF21abvbhul,VLASS1.2v2,0.331,0.14,-811.17
ZTF21abvbhul,VLASS2.2,0.357,0.108,91.83
ZTF21abvbihc,VLASS1.1v2,0.301,0.124,-1430.2
ZTF21abvbihc,VLASS2.1,0.212,0.129,-361.2
ZTF21abvbihc,VLASS3.1,0.221,0.116,554.8
ZTF21abvcarc,VLASS1.2v2,0.274,0.146,-840.33
ZTF21abvcarc,VLASS2.2,0.365,0.128,60.67
ZTF21abvctva,VLASS1.2v2,0.382,0.184,-783.44
ZTF21abvctva,VLASS2.2,0.316,0.137,172.56
ZTF21abvcugy,VLASS1.2v2,0.578,0.186,-783.46
ZTF21abvcugy,VLASS2.2,0.449,0.138,167.54
ZTF21abvcuhk,VLASS1.1v2,0.317,0.116,-1371.38
ZTF21abvcuhk,VLASS2.1,0.562,0.189,-418.38
