Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF18aakiwbs,VLASS2.1,0.299,0.116,111.56
ZTF18aakiwbs,VLASS3.1,0.311,0.116,1032.56
ZTF18aakkrjm,VLASS1.1v2,0.253,0.088,-890.21
ZTF18aakkrjm,VLASS2.1,0.417,0.177,126.79
ZTF18aakkrjm,VLASS3.1,0.272,0.107,1015.79
ZTF18aaklpdo,VLASS1.2v2,0.34,0.112,150.51
ZTF18aaklpdo,VLASS2.2,0.329,0.125,1092.51
ZTF18aakrnvd,VLASS1.1v2,0.308,0.135,-238.19
ZTF18aakrnvd,VLASS2.1,0.329,0.148,732.81
ZTF18aakrnvd,VLASS3.1,0.314,0.133,1654.81
ZTF18aakzliv,VLASS1.1v2,0.34,0.119,-208.48
ZTF18aakzliv,VLASS2.1,0.281,0.129,867.52
ZTF18aakzliv,VLASS3.1,0.24,0.119,1726.52
ZTF18aalcxig,VLASS1.2v2,1.005,0.424,361.59
ZTF18aalcxig,VLASS2.2,0.348,0.127,1247.59
ZTF18aamfrvy,VLASS1.2v2,0.345,0.132,317.73
ZTF18aamfrvy,VLASS2.2,0.346,0.137,1246.73
ZTF18aamftst,VLASS1.2v2,0.36,0.119,260.81
ZTF18aamftst,VLASS2.2,0.293,0.111,1189.81
ZTF18aamigmk,VLASS1.1v2,0.362,0.089,-236.45
ZTF18aamigmk,VLASS2.1,0.264,0.127,826.55
ZTF18aamigmk,VLASS3.1,0.276,0.113,1753.55
ZTF18aamsgjq,VLASS1.1v2,0.312,0.114,-409.55
ZTF18aamsgjq,VLASS2.1,0.282,0.128,602.45
ZTF18aamsgjq,VLASS3.1,0.25,0.104,1533.45
ZTF18aamtiwb,VLASS1.1v2,0.219,0.108,-1562.32
ZTF18aamtiwb,VLASS2.1,0.34,0.133,-557.32
ZTF18aamtiwb,VLASS3.1,0.336,0.107,342.68
ZTF18aamvfeb,VLASS1.1v2,0.267,0.099,-1644.3
ZTF18aamvfeb,VLASS2.1,0.379,0.121,-623.3
ZTF18aamvfeb,VLASS3.1,0.559,0.155,234.7
ZTF18aamxads,VLASS1.1v2,0.25,0.093,-1268.2
ZTF18aamxads,VLASS2.1,0.219,0.108,-272.2
ZTF18aamxads,VLASS3.1,0.308,0.135,630.8
ZTF18aamzgzi,VLASS1.2v2,1.314,0.154,-1384.45
ZTF18aamzgzi,VLASS2.2,1.241,0.123,-439.45
ZTF18aangpkx,VLASS1.1v2,0.268,0.105,-888.42
ZTF18aangpkx,VLASS2.1,0.288,0.121,115.58
ZTF18aangpkx,VLASS3.1,0.391,0.169,982.58
ZTF18aanhpii,VLASS1.1v2,0.318,0.115,-1767.33
ZTF18aanhpii,VLASS2.1,0.428,0.158,-713.33
ZTF18aanhpii,VLASS3.1,0.24,0.12,207.67
ZTF18aanjzkp,VLASS1.2v2,0.509,0.152,-1028.53
ZTF18aanjzkp,VLASS2.2,0.514,0.125,-142.53
ZTF18aankxqv,VLASS1.1v2,0.305,0.107,-1972.42
ZTF18aankxqv,VLASS2.1,0.479,0.144,-955.42
ZTF18aankxqv,VLASS3.1,0.169,0.094,-81.42
ZTF18aanlyba,VLASS1.1v2,0.73,0.134,-1560.53
ZTF18aanlyba,VLASS2.1,0.441,0.132,-492.53
ZTF18aanlyba,VLASS3.1,0.536,0.162,400.47
ZTF18aannern,VLASS1.2v2,0.353,0.115,-690.5
ZTF18aannern,VLASS2.2,0.439,0.15,234.5
ZTF18aansqom,VLASS2.1,0.726,0.194,-201.49
