Name,Ra_hourangle,Dec_degree,Epoch,Date,File_path
ZTF17aacldgo,3.156763888888889,-4.894222222222222,VLASS3.1,2023-05-12,ia_npy_arrays\ZTF17aacldgo_VLASS3.1_array.npy
ZTF17aabtvsy,10.592247222222223,37.64972222222222,VLASS1.2,2019-05-03,ia_npy_arrays\ZTF17aabtvsy_VLASS1.2v2_array.npy
ZTF17aabtvsy,10.592247222222223,37.64972222222222,VLASS2.2,2021-11-11,ia_npy_arrays\ZTF17aabtvsy_VLASS2.2_array.npy
ZTF17aabtvsy,10.592247222222223,37.64972222222222,VLASS3.2,2024-07-21,ia_npy_arrays\ZTF17aabtvsy_VLASS3.2_array.npy
ZTF17aadlxmv,8.496552777777778,33.90633333333333,VLASS1.2,2019-05-07,ia_npy_arrays\ZTF17aadlxmv_VLASS1.2v2_array.npy
ZTF17aadlxmv,8.496552777777778,33.90633333333333,VLASS2.2,2021-12-04,ia_npy_arrays\ZTF17aadlxmv_VLASS2.2_array.npy
ZTF17aadlxmv,8.496552777777778,33.90633333333333,VLASS3.2,2024-07-12,ia_npy_arrays\ZTF17aadlxmv_VLASS3.2_array.npy
ZTF18aaaonon,10.318197222222224,14.40461111111111,VLASS1.1,2017-10-06,ia_npy_arrays\ZTF18aaaonon_VLASS1.1v2_array.npy
ZTF18aaaonon,10.318197222222224,14.40461111111111,VLASS2.1,2020-10-11,ia_npy_arrays\ZTF18aaaonon_VLASS2.1_array.npy
ZTF18aaaonon,10.318197222222224,14.40461111111111,VLASS3.1,2023-01-29,ia_npy_arrays\ZTF18aaaonon_VLASS3.1_array.npy
ZTF18aaaqexr,11.718436111111112,15.56713888888889,VLASS1.1,2017-10-28,ia_npy_arrays\ZTF18aaaqexr_VLASS1.1v2_array.npy
ZTF18aaaqexr,11.718436111111112,15.56713888888889,VLASS2.1,2020-10-11,ia_npy_arrays\ZTF18aaaqexr_VLASS2.1_array.npy
ZTF18aaaqexr,11.718436111111112,15.56713888888889,VLASS3.1,2023-01-17,ia_npy_arrays\ZTF18aaaqexr_VLASS3.1_array.npy
ZTF18aabdgik,11.70657777777778,10.264083333333334,VLASS1.1,2018-01-03,ia_npy_arrays\ZTF18aabdgik_VLASS1.1v2_array.npy
ZTF18aabdgik,11.70657777777778,10.264083333333334,VLASS2.1,2020-07-21,ia_npy_arrays\ZTF18aabdgik_VLASS2.1_array.npy
ZTF18aabdgik,11.70657777777778,10.264083333333334,VLASS3.1,2023-01-25,ia_npy_arrays\ZTF18aabdgik_VLASS3.1_array.npy
ZTF18aaceepu,9.799844444444444,34.74180555555556,VLASS1.2,2019-06-07,ia_npy_arrays\ZTF18aaceepu_VLASS1.2v2_array.npy
ZTF18aaceepu,9.799844444444444,34.74180555555556,VLASS2.2,2021-12-15,ia_npy_arrays\ZTF18aaceepu_VLASS2.2_array.npy
ZTF18aaceepu,9.799844444444444,34.74180555555556,VLASS3.2,2024-07-07,ia_npy_arrays\ZTF18aaceepu_VLASS3.2_array.npy
ZTF18aadlaxo,8.04326388888889,50.92252777777777,VLASS1.2,2019-03-05,ia_npy_arrays\ZTF18aadlaxo_VLASS1.2v2_array.npy
ZTF18aadlaxo,8.04326388888889,50.92252777777777,VLASS2.2,2021-11-13,ia_npy_arrays\ZTF18aadlaxo_VLASS2.2_array.npy
ZTF18aadlaxo,8.04326388888889,50.92252777777777,VLASS3.2,2024-05-25,ia_npy_arrays\ZTF18aadlaxo_VLASS3.2_array.npy
ZTF18aadxnul,6.567180555555556,43.40902777777777,VLASS1.2,2019-04-27,ia_npy_arrays\ZTF18aadxnul_VLASS1.2v2_array.npy
ZTF18aadxnul,6.567180555555556,43.40902777777777,VLASS2.2,2021-10-09,ia_npy_arrays\ZTF18aadxnul_VLASS2.2_array.npy
ZTF18aadxnul,6.567180555555556,43.40902777777777,VLASS3.2,2024-06-15,ia_npy_arrays\ZTF18aadxnul_VLASS3.2_array.npy
ZTF18aadzfso,7.121575000000001,43.31641666666666,VLASS1.2,2019-05-16,ia_npy_arrays\ZTF18aadzfso_VLASS1.2v2_array.npy
ZTF18aadzfso,7.121575000000001,43.31641666666666,VLASS2.2,2021-10-17,ia_npy_arrays\ZTF18aadzfso_VLASS2.2_array.npy
ZTF18aadzfso,7.121575000000001,43.31641666666666,VLASS3.2,2024-06-09,ia_npy_arrays\ZTF18aadzfso_VLASS3.2_array.npy
ZTF18aaemivw,10.561858333333332,39.49069444444444,VLASS1.2,2019-05-03,ia_npy_arrays\ZTF18aaemivw_VLASS1.2v2_array.npy
ZTF18aaemivw,10.561858333333332,39.49069444444444,VLASS2.2,2021-11-11,ia_npy_arrays\ZTF18aaemivw_VLASS2.2_array.npy
ZTF18aaemivw,10.561858333333332,39.49069444444444,VLASS3.2,2024-07-21,ia_npy_arrays\ZTF18aaemivw_VLASS3.2_array.npy
ZTF18aaeqjmc,7.699619444444445,23.176472222222223,VLASS1.2,2019-04-14,ia_npy_arrays\ZTF18aaeqjmc_VLASS1.2v2_array.npy
ZTF18aaeqjmc,7.699619444444445,23.176472222222223,VLASS2.2,2021-12-13,ia_npy_arrays\ZTF18aaeqjmc_VLASS2.2_array.npy
ZTF18aaeqjmc,7.699619444444445,23.176472222222223,VLASS3.2,2024-05-04,ia_npy_arrays\ZTF18aaeqjmc_VLASS3.2_array.npy
ZTF18aaermez,10.211913888888889,39.37388888888889,VLASS1.2,2019-04-26,ia_npy_arrays\ZTF18aaermez_VLASS1.2v2_array.npy
ZTF18aaermez,10.211913888888889,39.37388888888889,VLASS2.2,2021-12-06,ia_npy_arrays\ZTF18aaermez_VLASS2.2_array.npy
ZTF18aaermez,10.211913888888889,39.37388888888889,VLASS3.2,2024-08-03,ia_npy_arrays\ZTF18aaermez_VLASS3.2_array.npy
ZTF18aaezzww,8.412011111111111,22.748222222222225,VLASS1.2,2019-04-13,ia_npy_arrays\ZTF18aaezzww_VLASS1.2v2_array.npy
ZTF18aaezzww,8.412011111111111,22.748222222222225,VLASS2.2,2021-12-14,ia_npy_arrays\ZTF18aaezzww_VLASS2.2_array.npy
ZTF18aaezzww,8.412011111111111,22.748222222222225,VLASS3.2,2024-06-19,ia_npy_arrays\ZTF18aaezzww_VLASS3.2_array.npy
ZTF18aafdigb,7.116783333333334,27.068944444444444,VLASS1.2,2019-04-19,ia_npy_arrays\ZTF18aafdigb_VLASS1.2v2_array.npy
ZTF18aafdigb,7.116783333333334,27.068944444444444,VLASS2.2,2021-12-05,ia_npy_arrays\ZTF18aafdigb_VLASS2.2_array.npy
