Name,c,Tile,Epoch,Date,File_path
ZTF18aaezzww,"<SkyCoord (ICRS): (ra, dec) in deg
    (126.18016667, 22.74822222)>",T16t12,VLASS2.2,2021-12-14,ia_npy_arrays\ZTF18aaezzww_VLASS2.2_array.npy
ZTF18aaezzww,"<SkyCoord (ICRS): (ra, dec) in deg
    (126.18016667, 22.74822222)>",T16t12,VLASS3.2,2024-06-19,ia_npy_arrays\ZTF18aaezzww_VLASS3.2_array.npy
ZTF18aafdigb,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.75175, 27.06894444)>",T17t10,VLASS1.2,2019-04-19,ia_npy_arrays\ZTF18aafdigb_VLASS1.2v2_array.npy
ZTF18aafdigb,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.75175, 27.06894444)>",T17t10,VLASS2.2,2021-12-05,ia_npy_arrays\ZTF18aafdigb_VLASS2.2_array.npy
ZTF18aafdigb,"<SkyCoord (ICRS): (ra, dec) in deg
    (106.75175, 27.06894444)>",T17t10,VLASS3.2,2024-07-14,ia_npy_arrays\ZTF18aafdigb_VLASS3.2_array.npy
ZTF18aafpfwr,"<SkyCoord (ICRS): (ra, dec) in deg
    (104.34420833, 21.67091667)>",T16t10,VLASS1.2,2019-03-29,ia_npy_arrays\ZTF18aafpfwr_VLASS1.2v2_array.npy
ZTF18aafpfwr,"<SkyCoord (ICRS): (ra, dec) in deg
    (104.34420833, 21.67091667)>",T16t10,VLASS2.2,2021-12-14,ia_npy_arrays\ZTF18aafpfwr_VLASS2.2_array.npy
ZTF18aafpfwr,"<SkyCoord (ICRS): (ra, dec) in deg
    (104.34420833, 21.67091667)>",T16t10,VLASS3.2,2024-06-19,ia_npy_arrays\ZTF18aafpfwr_VLASS3.2_array.npy
ZTF18aafzers,"<SkyCoord (ICRS): (ra, dec) in deg
    (123.02395833, 29.40394444)>",T18t11,VLASS1.2,2019-04-13,ia_npy_arrays\ZTF18aafzers_VLASS1.2v2_array.npy
ZTF18aafzers,"<SkyCoord (ICRS): (ra, dec) in deg
    (123.02395833, 29.40394444)>",T18t11,VLASS2.2,2021-11-29,ia_npy_arrays\ZTF18aafzers_VLASS2.2_array.npy
